Designator,Mid X,Mid Y,Rotation,Layer
J1,54.205,-80.4775,270.0,top
J2,107.61,-69.5,0.0,top
J3,107.6091,-85.9917,0.0,top
R1,69.0,-67.0,90.0,top
R2,69.0,-78.0,90.0,top
R3,69.0,-89.5,90.0,top
U1,79.505,-66.995,0.0,top
U2,79.505,-77.995,0.0,top
U3,79.505,-89.495,0.0,top
