Designator,Footprint,Quantity,Value,LCSC Part #
J1,MTJ88ARX1FSMLH,1,MTJ-88ARX1-FSM-LH,
J2,PinHeader_2x03_P2.54mm_Horizontal,1,Conn_02x03_CASE,
J3,PinHeader_2x03_P2.54mm_Horizontal,1,Conn_02x03_Odd_MOTHERBOARD,
"R1, R2",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,2,R330,
R3,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,R1000,
"U1, U2",DIP-4_W7.62mm,2,AQY282EH,
U3,DIP-4_W7.62mm,1,PC817,
